subject,test_alignment,acc,n,ci_lo,ci_hi
94,per_run,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
94,per_subject,0.9555555555555556,45,0.8485070997566608,0.9945715112997491
94,none,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
95,per_run,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
95,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
95,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
96,per_run,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
96,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
96,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
97,per_run,0.6,45,0.4433135124790022,0.7430241048073687
97,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
97,none,0.4,45,0.25697589519263137,0.5566864875209978
98,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
98,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
98,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
99,per_run,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
99,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
99,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
101,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
101,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
101,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
102,per_run,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
102,per_subject,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
102,none,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
103,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
103,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
103,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
104,per_run,0.5,42,0.3419475770509645,0.6580524229490354
104,per_subject,0.5238095238095238,42,0.3641779709213327,0.6799594911397739
104,none,0.5476190476190477,42,0.38673178723787444,0.7015411868036825
105,per_run,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
105,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
105,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
106,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
106,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
106,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
107,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
107,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
107,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
108,per_run,0.8,45,0.6540417022050522,0.9042427303088574
108,per_subject,0.8,45,0.6540417022050522,0.9042427303088574
108,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
109,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
109,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
109,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
